"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Months - Abbreviated","","","HUDText","Aug","PSG_10003615","","","","","","","Août","Ago","Aug","Ago","Ago","aug","Aug.","Sie","Авг"
"Months - Abbreviated","","","HUDText","Sep","PSG_10000832","","","","","","","Sep","Set","Sep","Sep","Set","sep","Szep.","Wrz","Сен"
"Months - Abbreviated","","","HUDText","Oct","PSG_10000834","","","","","","","Oct","Ott","Okt","Oct","Out","okt","Okt.","Paź","Окт"
"Months - Abbreviated","","","HUDText","Nov","PSG_10000833","","","","","","","Nov","Nov","Nov","Nov","Nov","nov","Nov.","Lis","Ноя"
"Months - Abbreviated","","","HUDText","Dec","PSG_10000835","","","","","","","Déc","Dic","Dez","Dic","Dez","dec","Dec.","Gru","Дек"
"Units","","","HUDText","Miles","PSG_10000836","","","","","","","Miles","Miglia","Meilen","Millas","Milhas","mijl","Mérföld","mi","миль"
"Units","","","HUDText","Kilometres","PSG_10000837","","","","","","","Kilomètres","Chilometri","Kilometer","Kilómetros","Quilômetros","kilometer","Kilométer","km","км"
"Units","","","HUDText","Centimetres","PSG_10000838","","","","","","","Centimètres","Centimetri","Zentimeter","Centímetros","Centímetros","Centimeter","Centiméter","cm","см"
"Units","","","HUDText","Hours","PSG_10000839","","","","","","","Heures","Ore","Stunden","Horas","Horas","uur","Óra","godz.","ч"
"Units","","","HUDText","Minutes","PSG_10000840","","","","","","","Minutes","Minuti","Minuten","Minutos","Minutos","minuten","Perc","min","мин"
"Units","","","HUDText","Mins","PSG_10002863","","","","","","","Min.","Min","Min.","Min.","min","min","p.","min","мин."
"Units","","","HUDText","Seconds","PSG_10000841","","","","","","","Secondes","Secondi","Sekunden","Segundos","Segundos","seconden","Másodperc","s","сек"
"Units","","","HUDText","Secs","PSG_10002864","","","","","","","Sec.","Sec","Sek.","Seg.","s","sec","s","s","сек."
"Units","","","HUDText","Days","PSG_10000842","","","","","","","Jours","Giorni","Tage","Días","Dias","dagen","Nap","d","дн."
"Units","","","HUDText","Weeks","PSG_10000843","","","","","","","Semaines","Settimane","Wochen","Semanas","Semanas","weken","Hétfő","tyg.","нед."
"Units","","","HUDText","Months","PSG_10000844","","","","","","","Mois","Mesi","Monate","Meses","Meses","maanden","Hónap","mies.","мес."
"Units","","","HUDText","Years","PSG_10000845","","","","","","","Ans","Anni","Jahre","Años","Anos","jaar","Év","lat(a)","лет"
"Positions","","","HUDText","1st","PSG_10000846","","","","","","","1er","1°","1.","1º","1º","1e","1.","1.","1"
"Positions","","","HUDText","2nd","PSG_10000847","","","","","","","2e","2°","2.","2º","2º","2e","2.","2.","2"
"Positions","","","HUDText","3rd","PSG_10000848","","","","","","","3e","3°","3.","3º","3º","3e","3.","3.","3"
"Positions","","","HUDText","4th","PSG_10000849","","","","","","","4e","4°","4.","4º","4º","4e","4.","4.","4"
"Positions","","","HUDText","5th","PSG_10000850","","","","","","","5e","5°","5.","5º","5º","5e","5.","5.","5"
"Positions","","","HUDText","6th","PSG_10000851","","","","","","","6e","6°","6.","6º","6º","6e","6.","6.","6"
"Positions","","","HUDText","7th","PSG_10000852","","","","","","","7e","7°","7.","7º","7º","7e","7.","7.","7"
"Positions","","","HUDText","8th","PSG_10000853","","","","","","","8e","8°","8.","8º","8º","8e","8.","8.","8"
"Positions","","","HUDText","9th","PSG_10000854","","","","","","","9e","9°","9.","9º","9º","9e","9.","9.","9"
"Positions","","","HUDText","10th","PSG_10000855","","","","","","","10e","10°","10.","10º","10º","10e","10.","10.","10"
"Positions","","","HUDText","11th","PSG_10000856","","","","","","","11e","11°","11.","11º","11º","11e","11.","11.","11"
"Positions","","","HUDText","12th","PSG_10000861","","","","","","","12e","12°","12.","12º","12º","12e","12.","12.","12"
"Positions","","","HUDText","13th","PSG_10000862","","","","","","","13e","13°","13.","13º","13º","13e","13.","13.","13"
"Positions","","","HUDText","14th","PSG_10000864","","","","","","","14e","14°","14.","14º","14º","14e","14.","14.","14"
"Positions","","","HUDText","15th","PSG_10000865","","","","","","","15e","15°","15.","15º","15º","15e","15.","15.","15"
"Positions","","","HUDText","16th","PSG_10000866","","","","","","","16e","16°","16.","16º","16º","16e","16.","16.","16"
"Positions","","","HUDText","17th","PSG_10000867","","","","","","","17e","17°","17.","17º","17º","17e","17.","17.","17"
"Positions","","","HUDText","18th","PSG_10000868","","","","","","","18e","18°","18.","18º","18º","18e","18.","18.","18"
"Positions","","","HUDText","19th","PSG_10000869","","","","","","","19e","19°","19.","19º","19º","19e","19.","19.","19"
"Positions","","","HUDText","20th","PSG_10000870","","","","","","","20e","20°","20.","20º","20º","20e","20.","20.","20"
"Positions","","","HUDText","21st","PSG_10000857","","","","","","","21e","21°","21.","21º","21º","21e","21.","21.","21"
"Positions","","","HUDText","22nd","PSG_10000858","","","","","","","22e","22°","22.","22º","22º","22e","22.","22.","22"
"Positions","","","HUDText","23rd","PSG_10000859","","","","","","","23e","23°","23.","23º","23º","23e","23.","23.","23"
"Positions","","","HUDText","24th","PSG_10000860","","","","","","","24e","24°","24.","24º","24º","24e","24.","24.","24"
"Positions","","","HUDText","25th","PSG_10009397","","","","","","","25e","25°","25.","25º","25º","25e","25.","25.","25"
"Positions","","","HUDText","26th","PSG_10009398","","","","","","","26e","26°","26.","26º","26º","26e","26.","26.","26"
"Positions","","","HUDText","27th","PSG_10009399","","","","","","","27e","27°","27.","27º","27º","27e","27.","27.","27"
"Positions","","","HUDText","28th","PSG_10009400","","","","","","","28e","28°","28.","28º","28º","28e","28.","28.","28"
"Positions","","","HUDText","29th","PSG_10009401","","","","","","","29e","29°","29.","29º","29º","29e","29.","29.","29"
"Positions","","","HUDText","30th","PSG_10009402","","","","","","","30e","30°","30.","30º","30º","30e","30.","30.","30"
"Positions","","","HUDText","31st","PSG_10009403","","","","","","","31e","31°","31.","31º","31º","31e","31.","31.","31"
"Positions","","","HUDText","32nd","PSG_10011158","","","","","","","32e","32°","32.","32º","32º","32e","32.","32.","32"
"Positions","","","HUDText","33rd","PSG_10011159","","","","","","","33e","33°","33.","33º","33º","33e","33.","33.","33"
"Positions","","","HUDText","34th","PSG_10011160","","","","","","","34e","34°","34.","34º","34º","34e","34.","34.","34"
"Positions","","","HUDText","35th","PSG_10011161","","","","","","","35e","35°","35.","35º","35º","35e","35.","35.","35"
"Positions","","","HUDText","36th","PSG_10011162","","","","","","","36e","36°","36.","36º","36º","36e","36.","36.","36"
"Positions","","","HUDText","37th","PSG_10011163","","","","","","","37e","37°","37.","37º","37º","37e","37.","37.","37"
"Positions","","","HUDText","38th","PSG_10011164","","","","","","","38e","38°","38.","38º","38º","38e","38.","38.","38"
"Positions","","","HUDText","39th","PSG_10011165","","","","","","","39e","39°","39.","39º","39º","39e","39.","39.","39"
"Positions","","","HUDText","40th","PSG_10011166","","","","","","","40e","40°","40.","40º","40º","40e","40.","40.","40"
"Positions","","","HUDText","41st","PSG_10011167","","","","","","","41e","41°","41.","41º","41º","41e","41.","41.","41"
"Positions","","","HUDText","42nd","PSG_10011168","","","","","","","42e","42°","42.","42º","42º","42e","42.","42.","42"
"Positions","","","HUDText","43rd","PSG_10011169","","","","","","","43e","43°","43.","43º","43º","43e","43.","43.","43"
"Positions","","","HUDText","44th","PSG_10011170","","","","","","","44e","44°","44.","44º","44º","44e","44.","44.","44"
"Positions","","","HUDText","45th","PSG_10011171","","","","","","","45e","45°","45.","45º","45º","45e","45.","45.","45"
"Positions","","","HUDText","46th","PSG_10011172","","","","","","","46e","46°","46.","46º","46º","46e","46.","46.","46"
"Positions","","","HUDText","47th","PSG_10011173","","","","","","","47e","47°","47.","47º","47º","47e","47.","47.","47"
"Positions","","","HUDText","48th","PSG_10011174","","","","","","","48e","48°","48.","48º","48º","48e","48.","48.","48"
"Positions","","","HUDText","49th","PSG_10011175","","","","","","","49e","49°","49.","49º","49º","49e","49.","49.","49"
"Positions","","","HUDText","50th","PSG_10011176","","","","","","","50e","50°","50.","50º","50º","50e","50.","50.","50"
"Positions","","","HUDText","51st","PSG_10011177","","","","","","","51e","51°","51.","51º","51º","51e","51.","51.","51"
"Positions","","","HUDText","52nd","PSG_10011178","","","","","","","52e","52°","52.","52º","52º","52e","52.","52.","52"
"Positions","","","HUDText","53rd","PSG_10011179","","","","","","","53e","53°","53.","53º","53º","53e","53.","53.","53"
"Positions","","","HUDText","54th","PSG_10011180","","","","","","","54e","54°","54.","54º","54º","54e","54.","54.","54"
"Positions","","","HUDText","55th","PSG_10011181","","","","","","","55e","55°","55.","55º","55º","55e","55.","55.","55"
"Positions","","","HUDText","56th","PSG_10011182","","","","","","","56e","56°","56.","56º","56º","56e","56.","56.","56"
"Positions","","","HUDText","57th","PSG_10011183","","","","","","","57e","57°","57.","57º","57º","57e","57.","57.","57"
"Positions","","","HUDText","58th","PSG_10011184","","","","","","","58e","58°","58.","58º","58º","58e","58.","58.","58"
"Positions","","","HUDText","59th","PSG_10011185","","","","","","","59e","59°","59.","59º","59º","59e","59.","59.","59"
"Positions","","","HUDText","60th","PSG_10011186","","","","","","","60e","60°","60.","60º","60º","60e","60.","60.","60"
"Positions","","","HUDText","61st","PSG_10011187","","","","","","","61e","61°","61.","61º","61º","61e","61.","61.","61"
"Positions","","","HUDText","62nd","PSG_10011188","","","","","","","62e","62°","62.","62º","62º","62e","62.","62.","62"
"Positions","","","HUDText","63rd","PSG_10011189","","","","","","","63e","63°","63.","63º","63º","63e","63.","63.","63"
"Positions","","","HUDText","64th","PSG_10011190","","","","","","","64e","64°","64.","64º","64º","64e","64.","64.","64"
"Positions","","","HUDText","65th","PSG_10011191","","","","","","","65e","65°","65.","65º","65º","65e","65.","65.","65"
"Positions","","","HUDText","66th","PSG_10011192","","","","","","","66e","66°","66.","66º","66º","66e","66.","66.","66"
"Positions","","","HUDText","67th","PSG_10011193","","","","","","","67e","67°","67.","67º","67º","67e","67.","67.","67"
"Positions","","","HUDText","68th","PSG_10011194","","","","","","","68e","68°","68.","68º","68º","68e","68.","68.","68"
"Positions","","","HUDText","69th","PSG_10011195","","","","","","","69e","69°","69.","69º","69º","69e","69.","69.","69"
"Positions","","","HUDText","70th","PSG_10011196","","","","","","","70e","70°","70.","70º","70º","70e","70.","70.","70"
"Positions","","","HUDText","71st","PSG_10011197","","","","","","","71e","71°","71.","71º","71º","71e","71.","71.","71"
"Positions","","","HUDText","72nd","PSG_10011198","","","","","","","72e","72°","72.","72º","72º","72e","72.","72.","72"
"Positions","","","HUDText","73rd","PSG_10011199","","","","","","","73e","73°","73.","73º","73º","73e","73.","73.","73"
"Positions","","","HUDText","74th","PSG_10011200","","","","","","","74e","74°","74.","74º","74º","74e","74.","74.","74"
"Positions","","","HUDText","75th","PSG_10011201","","","","","","","75e","75°","75.","75º","75º","75e","75.","75.","75"
"Positions","","","HUDText","76th","PSG_10011202","","","","","","","76e","76°","76.","76º","76º","76e","76.","76.","76"
"Positions","","","HUDText","77th","PSG_10011203","","","","","","","77e","77°","77.","77º","77º","77e","77.","77.","77"
"Positions","","","HUDText","78th","PSG_10011204","","","","","","","78e","78°","78.","78º","78º","78e","78.","78.","78"
"Positions","","","HUDText","79th","PSG_10011205","","","","","","","79e","79°","79.","79º","79º","79e","79.","79.","79"
"Positions","","","HUDText","80th","PSG_10011206","","","","","","","80e","80°","80.","80º","80º","80e","80.","80.","80"
"Positions","","","HUDText","81st","PSG_10011207","","","","","","","81e","81°","81.","81º","81º","81e","81.","81.","81"
"Positions","","","HUDText","82nd","PSG_10011208","","","","","","","82e","82°","82.","82º","82º","82e","82.","82.","82"
"Positions","","","HUDText","83rd","PSG_10011209","","","","","","","83e","83°","83.","83º","83º","83e","83.","83.","83"
"Positions","","","HUDText","84th","PSG_10011210","","","","","","","84e","84°","84.","84º","84º","84e","84.","84.","84"
"Positions","","","HUDText","85th","PSG_10011211","","","","","","","85e","85°","85.","85º","85º","85e","85.","85.","85"
"Positions","","","HUDText","86th","PSG_10011212","","","","","","","86e","86°","86.","86º","86º","86e","86.","86.","86"
"Positions","","","HUDText","87th","PSG_10011213","","","","","","","87e","87°","87.","87º","87º","87e","87.","87.","87"
"Positions","","","HUDText","88th","PSG_10011214","","","","","","","88e","88°","88.","88º","88º","88e","88.","88.","88"
"Positions","","","HUDText","89th","PSG_10011215","","","","","","","89e","89°","89.","89º","89º","89e","89.","89.","89"
"Positions","","","HUDText","90th","PSG_10011216","","","","","","","90e","90°","90.","90º","90º","90e","90.","90.","90"
"Positions","","","HUDText","91st","PSG_10011217","","","","","","","91e","91°","91.","91º","91º","91e","91.","91.","91"
"Positions","","","HUDText","92nd","PSG_10011218","","","","","","","92e","92°","92.","92º","92º","92e","92.","92.","92"
"Positions","","","HUDText","93rd","PSG_10011219","","","","","","","93e","93°","93.","93º","93º","93e","93.","93.","93"
"Positions","","","HUDText","94th","PSG_10011220","","","","","","","94e","94°","94.","94º","94º","94e","94.","94.","94"
"Positions","","","HUDText","95th","PSG_10011221","","","","","","","95e","95°","95.","95º","95º","95e","95.","95.","95"
"Positions","","","HUDText","96th","PSG_10011222","","","","","","","96e","96°","96.","96º","96º","96e","96.","96.","96"
"Positions","","","HUDText","97th","PSG_10011223","","","","","","","97e","97°","97.","97º","97º","97e","97.","97.","97"
"Positions","","","HUDText","98th","PSG_10011224","","","","","","","98e","98°","98.","98º","98º","98e","98.","98.","98"
"Positions","","","HUDText","99th","PSG_10011225","","","","","","","99e","99°","99.","99º","99º","99e","99.","99.","99"
"Positions","","","HUDText","100th","PSG_10011226","","","","","","","100e","100°","100.","100º","100º","100e","100.","100.","100"
"Continents","","","HUDText","Europe","PSG_10000871","","","","","","","Europe","Europa","Europa","Europa","Europa","Europa","Európa","Europa","Европа"
"Continents","","","HUDText","North America","PSG_10000872","","","","","","","Amérique du Nord","America del Nord","Nordamerika","Norteamérica","América do Norte","Noord-Amerika","Észak-Amerika","Ameryka Północna","Северная Америка"
"Continents","","","HUDText","South America","PSG_10000873","","","","","","","Amérique du Sud","America del Sud","Südamerika","Sudamérica","América do Sul","Zuid-Amerika","Dél-Amerika","Ameryka Południowa","Южная Америка"
"Continents","","","HUDText","Africa","PSG_10000874","","","","","","","Afrique","Africa","Afrika","África","África","Afrika","Afrika","Afryka","Африка"
"Continents","","","HUDText","Asia","PSG_10000875","","","","","","","Asie","Asia","Asien","Asia","Ásia","Azië","Ázsia","Azja","Азия"
"Continents","","","HUDText","Australasia","PSG_10000876","","","","","","","Océanie","Oceania","Ozeanien","Oceanía","Oceania","Australazië","Ausztrálázsia","Oceania","Австралазия"
"Continents - Adjectives","","","HUDText","European","PSG_10000877","","","","","","","européen","europeo","europäisch","<gender^Subject=F>
europea
</gender>
<gender^Subject=M>
europeo
</gender>
","Europeu","Europese","európai","europejski","<gender^Subject=F>
европейская
</gender>
<gender^Subject=M>
европейский
</gender>"
"Continents - Adjectives","","","HUDText","North American","PSG_10000878","","","","","","","nord-américain","nordamericano","nordamerikanisch","<gender^Subject=F>
norteamericana
</gender>
<gender^Subject=M>
norteamericano
</gender>
","Norte-americano","Noord-Amerikaanse","észak-amerikai","północnoamerykański","<gender^Subject=F>
североамериканская
</gender>
<gender^Subject=M>
североамериканский
</gender>"
"Continents - Adjectives","","","HUDText","South American","PSG_10000879","","","","","","","sud-américain","sudamericano","südamerikanisch","<gender^Subject=F>
sudamericana
</gender>
<gender^Subject=M>
sudamericano
</gender>
","Sul-americano","Zuid-Amerikaanse","dél-amerikai","południowoamerykański","<gender^Subject=F>
южноамериканская
</gender>
<gender^Subject=M>
южноамериканский
</gender>"
"Continents - Adjectives","","","HUDText","African","PSG_10000880","","","","","","","africain","africano","afrikanisch","<gender^Subject=F>
africana
</gender>
<gender^Subject=M>
africano
</gender>
","Africano","Afrikaanse","afrikai","afrykański","<gender^Subject=F>
африканская
</gender>
<gender^Subject=M>
африканский
</gender>"
"Continents - Adjectives","","","HUDText","Asian","PSG_10000881","","","","","","","asiatique","asiatico","asiatisch","<gender^Subject=F>
asiática
</gender>
<gender^Subject=M>
asiático
</gender>
","Asiático","Aziatische","ázsiai","azjatycki","<gender^Subject=F>
азиатская
</gender>
<gender^Subject=M>
азиатский
</gender>"
"Continents - Adjectives","","","HUDText","Australasian","PSG_10000882","","","","","","","océanien","oceaniano","ozeanisch","Oceánico","Oceânico","Australaziatische","ausztrálázsiai","australazjatycki","<gender^Subject=F>
австралазийская
</gender>
<gender^Subject=M>
австралазийский
</gender>"
"Language Names","","","HUDText","Portuguese (Brazilian)","PSG_10008745","","","","","","","Portugais (brésilien)","Portoghese (brasiliano)","Portugiesisch (Brasilien)","Portugués (Brasil)","Português (brasileiro)","Portugese (Braziliaans)","portugál (brazil)","portugalski (brazylijski)","<gender^Subject=F>
португальская (бразильская)
</gender>
<gender^Subject=M>
португальский (бразильский)
</gender>"
"Language Names","","","HUDText","English","PSG_10008746","","","","","","","French","Inglese","Englisch","Spanish","Inglês","Britse","angol","angielski","<gender^Subject=F>
английская
</gender>
<gender^Subject=M>
английский
</gender>"
"Track Locations","","","HUDText","Ardennes","PSG_10003764","","","","","","","Les Ardennes","Ardenne","Ardennen","Ardenas","Ardenas","Ardennen","Ardennek","Ardeny","Арденны"
"Track Locations","","","HUDText","Beijing","PSG_10003765","","","","","","","Pékin","Pechino","Peking","Pekín","Pequim","Peking","Peking","Pekin","Пекин"
"Track Locations","","","HUDText","Vancouver","PSG_10003766","","","","","","","Vancouver","Vancouver","Vancouver","Vancouver","Vancouver","Vancouver","Vancouver","Vancouver","Ванкувер"
"Track Locations","","","HUDText","Guildford","PSG_10003767","","","","","","","Guildford","Guildford","Guildford","Guildford","Guildford","Guildford","Guildford","Guildford","Гилдфорд"
"Track Locations","","","HUDText","Tondela","PSG_10003768","","","","","","","Tondela","Tondela","Tondela","Tondela","Tondela","Tondela","Tondela","Tondela","Тондела"
"Track Locations","","","HUDText","Milan","PSG_10003769","","","","","","","Milan","Milano","Mailand","Milán","Milão","Milaan","Milánó","Mediolan","Милан"
"Track Locations","","","HUDText","Cape Town","PSG_10003770","","","","","","","Le Cap","Città del Capo","Kapstadt","Ciudad del Cabo","Cidade do Cabo","Kaapstad","Fokváros","Kapsztad","Кейптаун"
"Track Locations","","","HUDText","Munich","PSG_10003771","","","","","","","Munich","Monaco","München","Múnich","Munique","München","München","Monachium","Мюнхен"
"Track Locations","","","HUDText","Phoenix","PSG_10003772","","","","","","","Phœnix","Phoenix","Phoenix","Phoenix","Phoenix","Phoenix","Phoenix","Phoenix","Финикс"
"Track Locations","","","HUDText","Doha","PSG_10003773","","","","","","","Doha","Doha","Doha","Doha","Doha","Doha","Doha","Doha","Доха"
"Track Locations","","","HUDText","Rio de Janeiro","PSG_10003774","","","","","","","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro","Río de Janeiro","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro","Рио-де-Жанейро"
"Track Locations","","","HUDText","Black Sea","PSG_10003775","","","","","","","Mer Noire","Mar Nero","Schwarzes Meer","Mar negro","Mar Negro","Zwarte Zee","Fekete-tenger","Morze Czarne","Чёрное море"
"Track Locations","","","HUDText","Singapore","PSG_10003776","","","","","","","Singapour","Singapore","Singapur","Singapur","Singapura","Singapore","Szingapúr","Singapur","Сингапур"
"Track Locations","","","HUDText","Sydney","PSG_10003779","","","","","","","Sydney","Sydney","Sydney","Sídney","Sydney","Sydney","Sydney","Sydney","Сидней"
"Track Locations","","","HUDText","Yokohama","PSG_10003777","","","","","","","Yokohama","Yokohama","Yokohama","Yokohama","Yokohama","Yokohama","Jokohama","Jokohama","Йокогама"
"Track Locations","","","HUDText","Dubai","PSG_10003778","","","","","","","Dubaï","Dubai","Dubai","Dubái","Dubai","Dubai","Dubai","Dubaj","Дубай"
"Continue Button","","","HUDText","Up Next","PSG_10002712","","","","","","","À venir","Prossimo","Als Nächstes","A continuación","Avançar","Hierna","Következő","Następne","Далее"
"Continue Button","","","HUDText","Continue","PSG_10002713","","","","","","","Continuer","Continua","Weiter","Continuar","Continuar","Doorgaan","Folytatás","Kontynuuj","Продолжить"
"Continue Button","","","HUDText","Back To","PSG_10002714","","","","","","","Retour","Indietro","Zurück zu","Volver a","Voltar","Terug naar","Vissza","Poprzednie","Назад"
"Continue Button","","","HUDText","Skip","PSG_10002715","","","","","","","Passer","Salta","Überspringen","Omitir","Pular","Overslaan","Kihagy","Pomiń","Пропуск"
"Continue Button","","","HUDText","Manage Team","PSG_10002716","","","","","","","Gérer l'équipe","Gestisci la squadra","Team verwalten","Gestionar equipo","Gerenciar equipe","Team beheren","Csapat menedzselése","Zarządzaj zespołem","Управление командой"
"Continue Button","","","HUDText","Confirm Setup","PSG_10002717","","","","","","","Confirmer réglages","Conferma setup","Setup bestätigen","Confirmar ajuste","Confirmar ajustes","Bevestigen","Beállítás megerősítés","Zatw. ustawienia","Подтв. Настройку"
"Continue Button","","","HUDText","Start Practice","PSG_10002718","","","","","","","Commencer essais","Inizia le prove libere","Training starten","Empezar entrenamiento","Iniciar treino","Oefening starten","Szabadedzés kezdése","Rozpocznij trening","Начать тренировку"
"Continue Button","","","HUDText","Start Qualifying","PSG_10002719","","","","","","","Commencer qualifs","Inizia le qualifiche","Qualifying starten","Empezar clasificación","Iniciar classificatória","Kwalificatie starten","Időmérő megkezdése","Rozpocznij kwalifikacje","Начать квалификацию"
"Continue Button","","","HUDText","Start Race","PSG_10002720","","","","","","","Commencer la course","Inizia la gara","Rennen starten","Empezar carrera","Iniciar corrida","Race starten","Verseny megkezdése","Rozpocznij wyścig","Начать гонку"
"Continue Button","","","HUDText","Confirm Expenses","PSG_10002740","","","","","","","Confirmer les dépenses","Conferma spese","Ausgaben bestätigen","Confirmar gastos","Confirmar gastos","Uitgaven bevestigen","Kiadások megerősítése","Zatwierdź wydatki","Подтвердить расходы"
"Jobs","","","HUDText","No. 1 Driver","PSG_10003619","","","","","","","Pilote n°1","Pilota 1","<gender^Subject=F>
Fahrerin Nr. 1
</gender>
<gender^Subject=M>
Fahrer Nr. 1
</gender>
","Primer piloto","Piloto nº 1","Coureur nr. 1","1. sz. pilóta","Pierwszy kierowca","1-й пилот"
"Jobs","","","HUDText","No. 2 Driver","PSG_10003620","","","","","","","Pilote n°2","Pilota 2","<gender^Subject=F>
Fahrerin Nr. 2
</gender>
<gender^Subject=M>
Fahrer Nr. 2
</gender>
","Segundo piloto","Piloto nº 2","Coureur nr. 2","2. sz. pilóta","Drugi kierowca","2-й пилот"
"Jobs","","","HUDText","Reserve Driver","PSG_10003621","","","","","","","Pilote de réserve","Pilota di riserva","<gender^Subject=F>
Reservefahrerin
</gender>
<gender^Subject=M>
Reservefahrer
</gender>
","Piloto reserva","Piloto reserva","Reservecoureur","Tartalékpilóta","Kierowca rezerwowy","Резервный пилот"
"Jobs","","","HUDText","Equal Status Driver","PSG_10003622","","","","","","","Pilote de même statut","Pilota alla pari","Fahrer mit gleichem Status","Piloto de estatus similar","Piloto de status igual","Coureur met gelijke status","Egyenlő elbírálású pilóta","Kierowca równorzędny","Пилот равного статуса"
"Jobs","","","HUDText","Number 1","PSG_10005068","","","","","","","Numéro 1","Numero 1","Nummer 1","Número 1","Número 1","Nummer 1","1. számú","Numer 1","Номер 1"
"Jobs","","","HUDText","Number 2","PSG_10005069","","","","","","","Numéro 2","Numero 2","Nummer 2","Número 2","Número 2","Nummer 2","2. számú","Numer 2","Номер 2"
"Jobs","","","HUDText","Equal Status","PSG_10005057","","","","","","","Même statut","Stato alla pari","Gleicher Status","Mismo estatus","Status igual","Gelijke status","Egyenlő elbírálású pilóta","Równorzędny","Равный статус"
