ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
39,Pessimist,PSG_10001358,,""What?! The fuel tank is half empty already?"",PSG_10002624,,Permanent,,,,,,,38,39,,,,,,,,,,,,,,,,,-10,,,,,,,,,,
40,Famous Parent,PSG_10001359,,""Don't worry... daddy will sort it out."",PSG_10001360,,Permanent,,,,,,,,40,,,,,,,,,,,,,,,,10,,,,10,,,,,,,
41,Erratic,PSG_10001361,,""I do have slight problems withâ€¦ consistency."",PSG_10003747,,Permanent,,,,,,,42,41,,,,,,,,-2,,,,,,,,,,,,,,,,,,,
42,Stable,PSG_10007587,,""Move to beige alert!"",PSG_10007588,,Permanent,,,,,,,41,42,,,,,,,,+2,,,,,,,,,,,,,,,,,,,
43,Crash Happy,PSG_10002380,,""I prefer the term 'racing incident'."",PSG_10002635,,Permanent,,,,,,,44,43,,,,,,,,,,,,-2,,,,,,,,,,,,,,,
44,Rock Solid,PSG_10001374,,""I've not crashed in years!"",PSG_10002636,,Permanent,,,,,,,43,44,,,,,,,,,,,,+2,,,,,,,,,,,,,,,
45,Overtake specialist,PSG_10001375,,"""If you no longer go for a gap that exists, you are no longer a racing driver...""",PSG_10002723,,Permanent,,,,,,,46,45,,,,,,,+2,,,,,,,,,,,,,,,,,,,,
46,Action Averse,PSG_10001376,,""I like a nice clear track."",PSG_10002379,,Permanent,,,,,,,45,46,,,,,,,-2,,,,,,,,,,,,,,,,,,,,
47,Chaser,PSG_10001377,,""I've got them in my sights..."",PSG_10002637,,Permanent,,,,,,,48,47,,,+2,,,,,,,,,,P2InRace,[Placeholder] Bonus applies when in second place in the race,PSG_10009820,,,,,,,,,,,,
48,Hates chasing,PSG_10001378,,""Why can't they just all get out of my way?!"",PSG_10002638,,Permanent,,,,,,,47,48,,,-2,,,,,,,,,,P2InRace,[Placeholder] Bonus applies when in second place in the race,PSG_10009820,,,,,,,,,,,,
49,Born Leader,PSG_10001379,,""The front is where I belong."",PSG_10002641,,Permanent,,,,,,,50,49,,,+2,,,,,,,,,,P1InRace,[Placeholder] Bonus applies when in first place in the race,PSG_10009821,,,,,,,,,,,,
50,Hates Leading,PSG_10001380,,""I'm like a fighter pilot... I need a target!"",PSG_10002724,,Permanent,,,,,,,49,50,,,-2,,,,,,,,,,P1InRace,[Placeholder] Bonus applies when in first place in the race,PSG_10009821,,,,,,,,,,,,
51,First Lap Hero,PSG_10001381,,""I live for the run down to Turn 1!"",PSG_10002381,,Permanent,,,,,,,52,51,,,+4,,,,,,,,,,RaceLap1,[Placeholder] Bonus applies when in first lap of the race,PSG_10009822,,,,,,,,,,,,
52,First Lap Panic,PSG_10001382,,""There are too many cars all over the place!"",PSG_10002639,,Permanent,,,,,,,51,52,,,-4,,,,,,,,,,RaceLap1,[Placeholder] Bonus applies when in first lap of the race,PSG_10009822,,,,,,,,,,,,
53,Easy on Fuel,PSG_10001383,,"""Saving the world, one lap at a time.""",PSG_10002640,,Permanent,,,,,,,54,53,,,,,,,,,,,,,FuelBurn(Low),[Placeholder] Burning less fuel than usual.,PSG_10009823,,,,,,,,-50,,,,
54,Fuel Hungry,PSG_10001384,,""It's there to be used!"",PSG_10002644,,Permanent,,,,,,,53,54,,,,,,,,,,,,,FuelBurn(High),[Placeholder] Burning more fuel than usual.,PSG_10009824,,,,,,,,50,,,,
55,Radio Shy,PSG_10001387,,"""Leave me alone, I know what I'm doing!""",PSG_10002645,,Permanent,,,,,,,56,55,,,,,,,,,,,-5,,,,,,,,,,,,,,,,
56,Chatty,PSG_10001388,,""I could have been a hairdresser."",PSG_10002646,,Permanent,,,,,,,55,56,,,,,,,,,,,2,,,,,,,,,,,,,,,,
59,DRS Expert,PSG_10001391,,""It's a quality feature!"",PSG_10002643,,Permanent,,,,,,,60,59,,,,+1,+1,,,,,,,,,,,,,,,,,,,,,,
60,Bad at DRS,PSG_10001392,,""Why can't they just let us race?!"",PSG_10002642,,Permanent,,,,,,,59,60,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,
61,KERS Expert,PSG_10001393,,""I love choosing when to deploy it!"",PSG_10003750,,Permanent,,,,,,,62,61,,,,+1,+1,,,,,,,,,,,,,,,,,,,,,,
62,Bad at KERS,PSG_10001396,,"""Another stupid gimmick, ruining the sport!""",PSG_10003751,,Permanent,,,,,,,61,62,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,
63,Late Braker,PSG_10001394,,""I like to scare myself a little on every corner."",PSG_10002676,,Permanent,,,,,,,64,63,,,,+2,,,,,,,,,,,,,,,,,,,,,,,
64,Early Braker,PSG_10001397,,""I prefer to make sure I'm going to get around the cornerâ€¦"",PSG_10003752,,Permanent,,,,,,,63,64,,,,-2,,,,,,,,,,,,,,,,,,,,,,,
65,Racer,PSG_10001395,,""Fighting it out in a pack of 20 carsâ€¦ how wonderful!"",PSG_10003753,,Permanent,,,,,,,,65,,,+2,,,,,,,,,,Race,Bonus applies during race only.,PSG_10009825,,,,,,,,,,,,
66,Timesheet Hero,PSG_10004146,,"""It's all about putting in the perfect lap, free from distractions.""",PSG_10003754,,Permanent,,,,,,,,66,,,+2,,,,,,,,,,Qualifying; Practice,Bonus applies during qualifying and practice sessions only.,PSG_10009826,,,,,,,,,,,,
67,Gives Great Feedback,PSG_10004147,,""Take the rear wing down a couple of degreesâ€¦"",PSG_10003755,,Permanent,,,,,,,68,67,,,,,,,,,,,+2,,,,,,,,,,,,,,,,
68,Gives Bad Feedback,PSG_10001398,,""I dunno! Just make it faster!"",PSG_10003756,,Permanent,,,,,,,67,68,,,,,,,,,,,-2,,,,,,,,,,,,,,,,
69,Smooth Braker,PSG_10001399,,""The only thing smoother than my braking... is my dating."",PSG_10002727,,Permanent,,,,,,,70,69,,,,,,+2,,,,,,,,,,,,,,,,,,,,,
70,Flat Spotter,PSG_10001400,,""The tyres look like 50p pieces again..."",PSG_10002674,,Permanent,,,,,,,69,70,,,,,,-2,,,,,,,,,,,,,,,,,,,,,
71,Handles Complex Steering Wheel,PSG_10001401,,"""Ah, it's just like my favourite video game!""",PSG_10002675,,Permanent,,,,,,,72,71,,,,,,,,,+2,,,,,,,,,,,,,,,,,,
72,"Keep It Simple, Stupid",PSG_10001402,,""I prefer my buttons to be made of chocolate."",PSG_10002685,,Permanent,,,,,,,71,72,,,,,,,,,-2,,,,,,,,,,,,,,,,,,
73,Wet Weather Pro,PSG_10001403,,""I'm siiiinging in the raiiiin!"",PSG_10002686,,Permanent,,,,,,,74,73,,,+2,,,,,,,,,,WetSession,Bonus applies when the circuit is wet.,PSG_10009827,,,,,,,,,,,,
74,Wet Weather Struggler,PSG_10001404,,""Can't we just call it off? It's pouring!"",PSG_10002687,,Permanent,,,,,,,73,74,,,-2,,,,,,,,,,WetSession,Bonus applies when the circuit is wet.,PSG_10009827,,,,,,,,,,,,
77,Home Race Hero,PSG_10001407,,""There's nothing better than hearing the home fans chant your name!"",PSG_10002382,,Permanent,,,,,,,78,77,,,+2,,,,,,,,,,HomeRace,Bonus applies during the driver's home race.,PSG_10009828,,,,,,,,,,,,
78,Wilts At Home,PSG_10001408,,""I hate the home race spotlight!"",PSG_10002383,,Permanent,,,,,,,77,78,,,-2,,,,,,,,,,HomeRace,Bonus applies during the driver's home race.,PSG_10009828,,,,,,,,,,,,
79,Crashed Big in {BigCrashLocation},PSG_10001409,,""I wake up having nightmares about that corner..."",PSG_10002384,,Permanent,,,,,,,,79,,,-2,,,,,,,,,,{Track},Bonus only applies in a specific location.,PSG_10009829,,,,,,,,,,,,
80,Aggressive,PSG_10001412,,""How can a crash be my fault when the guy in front is so slow?!"",PSG_10003757,,Permanent,,,,,,,81,80,,,,,,,2,,,,,,,,,,,,,,,,,,,,
81,Passive,PSG_10001413,,"""I justâ€¦ y'know... let things happen out there, dude.""",PSG_10003758,,Permanent,,,,,,,80,81,,,,,,,-2,,,,,,,,,,,,,,,,,,,,
82,Lighting Reactions,PSG_10001414,,""Like the cat that got been bitten by a radioactive spider."",PSG_10002681,,Permanent,,,,,,,83,82,,,,,,,,,,,,2,,,,,,,,,,,,,,,
83,Slow Reactions,PSG_10001415,,""Who said that?"",PSG_10002728,,Permanent,,,,,,,82,83,,,,,,,,,,,,-2,,,,,,,,,,,,,,,
84,Joined Cult,PSG_10005349,,Have you guys heard about Zodion?,PSG_10005350,,Temp,,20,,,2,85,,84,Source = JoinedCult,PlayerDriverOnly,-1,,,,,,,,,,,,,,30,,,,,,,,,,
85,Committed Cultist,PSG_10005351,,Zodion has opened up my soul!,PSG_10005352,,Temp,,20,,Trait = 84,50,86,,85,Source = CommittedCultist,PlayerDriverOnly,-2,,,,,,,,,,,,,,40,,,,,,,,,,
86,Cult Leader,PSG_10005353,,Who needs motorsport when you can spread the word of Zodion?!,PSG_10005354,,Temp,,20,,Trait = 85,50,,,86,Source = CultLeader,PlayerDriverOnly,-4,,,,,,,,,,,,,,50,,,,,,,,,,
87,Found Religion,PSG_10005355,,It's myself that I've found really.,PSG_10005356,,Temp,,20,,,10,88,,87,Source = FoundReligion,PlayerDriverOnly,,,,,,,,,,1,,,,,10,,,,,,,,,,
88,Committed to Religion,PSG_10005357,,It's very important to my life.,PSG_10005358,,Temp,,20,,Trait = 87,50,89,,88,Source = CommittedToReligion,PlayerDriverOnly,,,,,,,,,,2,,,,,20,,,,,,,,,,
89,Religious Minister,PSG_10005359,,"It's distracting, sure, but I feel a renewed purpose!",PSG_10005360,,Temp,,20,,Trait = 88,50,,,89,Source = ReligiousMinister,PlayerDriverOnly,-1,,,,,,,,,,,,,,30,,,,,,,,,,
90,Meditates,PSG_10005361,,"I'm so much calmer now... ",PSG_10005362,,Temp,,20,,,15,,,90,Source = Meditates,PlayerDriverOnly,,,,,,,,,,2,,,,,,,,,,,,,,,
91,Security Guard,PSG_10005363,,I feel a lot more secure when Hank is here.,PSG_10005364,,Temp,,20,,,5,,,91,Source = SecurityGuard,PlayerDriverOnly,,,,,,,,,,,,,,,10,-10,,,,,,,,,
92,Entourage,PSG_10005365,,So what if they get in the way a bit? They're my crew!,PSG_10005366,,Temp,,20,,,10,,,92,Source = Entourage,PlayerDriverOnly,,,,,,,,,,,,,,,10,-25,,,,,,,,,
93,Taking Acting Lessons,PSG_10005367,,"I've always longed for the stage, the lights... the adulation!",PSG_10005368,,Temp,,20,,,5,94,,93,Source = TakingActingLessons,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,,,,,,,,
94,Auditioning For Films,PSG_10005369,,"My agent knocked on a few doors... ",PSG_10005370,,Temp,,20,,Trait = 93,50,95,,94,Source = AuditioningForFilms,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,,,,,,,,
95,Appearing in Film,PSG_10005371,,"It's independent, arty... and no, I'm not doing a nude scene.",PSG_10005372,,Temp,,20,,Trait = 94,50,96; 97,,95,Source = AppearingInFilm,PlayerDriverOnly,,,,,,,,-1,,-1,,,,30,,,,,,,,,,,
96,Successful Actor,PSG_10005373,,"If you want me, I'll be in my trailer.",PSG_10005374,,Temp,,20,,Trait = 95,50,,,96,Source = SuccessfulActor,PlayerDriverOnly,,,,,,,,-2,,-2,,,,40,,,,,,,,,,,
97,Failed Actor,PSG_10005375,,"Man, those critics don't hold back... ",PSG_10005376,,Temp,,20,,Trait = 93||94||95,50,,,97,Source = FailedActor,PlayerDriverOnly,-1,,,,,,,,,,,,,,-30,,,,,,,,,,
98,Budding Musician,PSG_10005377,,Ooh! My rhyming dictionary has arrived!,PSG_10005378,,Temp,,20,,,10,99,,98,Source = BuddingMusician,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,,,,,,,,
99,Releasing Album,PSG_10005379,,"We left so much quality material in the studio... ",PSG_10005380,,Temp,,20,,Trait = 98,50,100,,99,Source = ReleasingAlbum,PlayerDriverOnly,,,,,,,,,,,,,,25,,,,,,,,,,,
100,Successful Musician,PSG_10005381,,Forget racing! This is the true outlet for my genius...,PSG_10005382,,Temp,,20,,Trait = 99,50,101,,100,Source = SuccessfulMusician,PlayerDriverOnly,-2,,,,,,,,,,,,,40,,,,,,,,,,,
101,Failed Musician,PSG_10005383,,Who knew that the listening public could be so wrong?,PSG_10005384,,Temp,,20,,Trait = 100,50,,,101,Source = FailedMusician,PlayerDriverOnly,,,,,,,,,,,,,,,-30,,,,,,,,,,
102,Fashionista,PSG_10005385,,"That jacket is so last season, darling!",PSG_10005386,,Temp,,20,,,10,103,,102,Source = Stylish,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,,,,,,,,
103,Designing Clothing Line,PSG_10005387,,"I was thinking about redesigning our overalls, boss...",PSG_10005388,,Temp,,20,,Trait = 102,50,104,,103,Source = DesigningClothingLine,PlayerDriverOnly,,,,,,,,,,,,,,25,,,,,,,,,,,
104,Successful Designer,PSG_10005389,,It's great! I can sell shirts for Â£300!,PSG_10005390,,Temp,,20,,Trait = 103,50,105,,104,Source = SuccessfulDesigner,PlayerDriverOnly,,,,,,,,,,,,,,40,,,,,,,,,,,
105,Failed Designer,PSG_10005391,,Apparently the world isn't quite ready for suede underwear.,PSG_10005392,,Temp,,20,,Trait = 103,50,,,105,Source = FailedDesigner,PlayerDriverOnly,-1,,,,,,,,,,,,,,-30,,,,,,,,,,
106,Modelling Tryout,PSG_10005393,,They told me I'm beautiful! I could be a model!,PSG_10005394,,Temp,,20,,,10,107,21,106,Source = ModellingTryout,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,,,,,,,,
107,Joined Modelling Agency,PSG_10005395,,Apparently my walk is 'interesting'. Not bad.,PSG_10005396,,Temp,,20,,Trait = 106,50,108,,107,Source = JoinedModellingAgency,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,,,,,,,,
108,Catalogue Model,PSG_10005397,,"I may only have about 6 different poses, but they're all good!",PSG_10005398,,Temp,,20,,Trait = 107,50,109,,108,Source = CatalogueModel,PlayerDriverOnly,,,,,,,,,,,,,,30,,,,,,,,,,,
109,Catwalk Model,PSG_10005399,,I'm working on my signature look... I call it ""Grey Iron"".,PSG_10005400,,Temp,,20,,Trait = 108,50,110,,109,Source = CatwalkModel,PlayerDriverOnly,,,,,,,,,,,,,,40,,,,,,,,,,,
110,Failed Model,PSG_10005401,,They're all a bunch of waifs and strays anyway!,PSG_10005402,,Temp,,20,,Trait = 106||107||108,50,,,110,Source = FailedModel,PlayerDriverOnly,-1,,,,,,,,,,,,,,-30,,,,,,,,,,
111,Clubgoer,PSG_10005403,,"Why, yes! I do like to rock the party!",PSG_10005404,,Temp,,20,,,10,112,33,111,Source = Clubgoer,PlayerDriverOnly,,,,,,,,,,,,,,5,,,,,,,,,,,
112,On Party Circuit,PSG_10005405,,Damn the paparazzi!,PSG_10005406,,Temp,,20,,Trait = 111,50,113,,112,Source = OnPartyCircuit,PlayerDriverOnly,,,,,,,,-1,,-1,,,,10,,,,,,,,,,,
113,Party Animal,PSG_10005407,,"24/7, baby! My life is the best!",PSG_10005408,,Temp,,20,,Trait = 112,50,114; 115,,113,Source = PartyAnimal,PlayerDriverOnly,,,,,,,,-2,,-2,,,,15,,,,,,,,,,,
114,Burnt Out,PSG_10005409,,Uh... I think I might have overdone it a bit...,PSG_10005410,,Temp,,20,,Trait = 113,50,,,114,Source = BurntOut,PlayerDriverOnly,-1,,,,,,,,,,,,,5,,,,,,,,,,,
115,Dating Celebrity,PSG_10005411,,"Sure, she's demanding... but she's worth it!",PSG_10005412,,Temp,,20,,Trait = 113,50,116; 117,,115,Source = DatingCelebrity,PlayerDriverOnly,,,,,,,,,,,,,,,20,,,,,,,,,,
116,Broke Up With Celebrity,PSG_10005413,,She left me... I guess I just can't compete with an underwear model.,PSG_10005414,,Temp,,20,,Trait = 115,50,,,116,Source = BrokeUpWithCelebrity,PlayerDriverOnly,,,,,,,,,,,,,,,-20,,,,,,,,,,
117,Celebrity Spouse,PSG_10005415,,You mean to say the paparazzi were here for my wife?,PSG_10005416,,Temp,,20,,Trait = 115,50,,,117,Source = CelebritySpouse,PlayerDriverOnly,,,,,,,,,,,,,,30,,,,,,,,,,,
118,Addictive Personality,PSG_10005417,,"I may have a problem... ",PSG_10005418,,Temp,,20,,,10,,,118,Source = AddictivePersonality,PlayerDriverOnly,,,,,,,,,,-2,,,,,-20,,,,,,,,,,
119,In Rehab,PSG_10005419,,I'm getting clean... addiction has ruled my life for too long!,PSG_10005420,,Temp,,20,,Trait = 118,50,,,119,Source = InRehab,PlayerDriverOnly,-1,,,,,,,,,,,,,,15,,,,,,,,,,
120,Addiction Free,PSG_10005421,,I'm reformed now. My mind is clear.,PSG_10005422,,Temp,,20,,Trait = 119,50,,,120,Source = AddictionFree,PlayerDriverOnly,,,,,,,,,,2,,,,,30,,,,,,,,,,
121,Addiction Relapse,PSG_10005423,,It's happening again!,PSG_10005424,,Temp,,20,,Trait = 120,50,,,121,Source = AddictionRelapse,PlayerDriverOnly,-2,,,,,,,,,,,,,,-30,,,,,,,,,,
122,Caught Speeding,PSG_10005425,,"Hey, if anyone should be allowed to drive at speed, it's me.",PSG_10005426,,Temp,,20,,,10,,,122,Source = CaughtSpeeding,PlayerDriverOnly,,,,,,,,,,,,,,5,,,,,,,,,,,
123,Crashed Car,PSG_10005427,,It's okay. I have plenty of others.,PSG_10005428,,Temp,,20,,Trait = 122,10,,,123,Source = CrashedCar,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,-10,,,,,,,
124,Banned from Driving,PSG_10005429,,I can still race. It's cool.,PSG_10005430,,Temp,,20,,Trait = 123,10,,,124,Source = BannedFromDriving,PlayerDriverOnly,,,,,,,,,,,,,,15,,,,-15,,,,,,,
125,Took Selfie While Driving,PSG_10005431,,"Oh, right... I was still banned! Oops.",PSG_10005432,,Temp,,20,,Trait = 124,10,,,125,Source = TookSelfieWhileDriving,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,-20,,,,,,,
126,Refocused,PSG_10005433,,I'm getting my head back in the game...,PSG_10005434,,Temp,,20,,,5,,,126,Source = Refocused,PlayerDriverOnly,1,,,,,,,,,,,,,5,,,,,,,,,,,
127,Racing Snowmobiles,PSG_10005435,,It's such a different challenge!,PSG_10005436,,Temp,,20,,,5,,129; 131; 133;,127,Source = RacingSnowmobiles,PlayerDriverOnly,,,,,,,1,,,,,,,5,,,,,,,,,,,
128,Snowmobile Champion,PSG_10005437,,I am the master of the snow!,PSG_10005438,,Permanent,,,,Trait = 127,25,,,128,Source = SnowmobileWinner,PlayerDriverOnly,,,,,,,2,,,,,,,5,,,,,,,,,,,
129,Racing Rally Cars,PSG_10005439,,You really have to feel the car...,PSG_10005440,,Temp,,20,,,2,130,127; 131; 133,129,Source = RacingRallyCars,PlayerDriverOnly,,,1,,,,,,,,,,,5,,,,,,,,,,,
130,Rally Champion,PSG_10005441,,There are no hiding places when you're on a mountainside.,PSG_10005442,,Permanent,,,,Trait = 129,25,,,130,Source = RallyWinner,PlayerDriverOnly,,,2,,,,,,,,,,,5,,,,,,,,,,,
131,Racing Motorbikes,PSG_10005443,,"I understand grip so much better now... ",PSG_10005444,,Temp,,20,,,5,132,127; 129; 133,131,Source = RacingMotorbikes,PlayerDriverOnly,,,,1,,,,,,,,,,5,,,,,,,,,,,
132,Motorbike Champion,PSG_10005445,,The road holds no mystery to me.,PSG_10005446,,Permanent,,,,Trait = 131,25,,,132,Source = MotorbikeWinner,PlayerDriverOnly,,,,2,,,,,,,,,,5,,,,,,,,,,,
133,Endurance Racer,PSG_10005447,,"One mistake, and you spend 6 hours making up for it.",PSG_10005448,,Temp,,20,,,5,134,127; 129; 131,133,Source = EnduranceRacer,PlayerDriverOnly,,,,,,1,,,,,,,,5,,,,,,,,,,,
