ID,Trait Name,Name ID,Custom Trait Name,Text ID,Icon Path,Icon,Part,Level,Type,Activation Requirement,Risk Level,Stat Boost,Max Stat Boost,Reliability Boost,Max Reliability Boost,Production Time,Cost,Red Zone,Bonus,Bonus Type,AggressiveTeamWeightings,PassiveTeamWeightings
76,"Production Time: +4 Days
{Stat}: +40
Reliability: +25%",PSG_10008455,,,PartIconID14,2,All,4,Stock,,,40,,25,,8,,,,,0.4,1
77,"Build Time: +5 Days
{Stat}: +40 to Max",PSG_10008456,,,PartIconID77,1,All,2,Stock,,,,40,,,7,,,,,0.8,0.5
78,"Build Time: +2 Days
{Stat}: +15 to Max
{Stat}: +20",PSG_10008457,,,PartIconID78,1,All,2,Stock,,,20,15,,,4,,,,,0.7,0.4
79,"{Stat}: +90
",PSG_10008458,,,PartIconID2,1,All,5,Stock,,,90,,,,,,,,,0.9,0.8
83,"{Stat}: +50
Reliability: +50%",PSG_10008459,,,PartIconID3,1,All,5,Stock,,,50,,50,,,,,,,0.8,0.7
80,Adds a Random ""Good"" Component,PSG_10008460,,,EngineerIconRandom35,4,All,1,Engineer,,,,,,,,,,2,AddRandomLevelComponent,0,0
81,"{Stat}: +20 to Max
Red Zone: -10%
Risk Level: +1",PSG_10008461,,,EngineerIconMaxPerformance42,4,All,2,Engineer,,1,,20,,,,,-10,,,0,0
82,"Reliability: +15% 
For: Each ""Good"" Component
Risk Level: +1",PSG_10008462,,,EngineerIconID45,4,All,3,Engineer,,1,,,15,,,,,2,ReliabilityBonusPerComponentOfLevel,0,0
84,"Build Time: +5 Days
Unlocks an Additional ""Good"" Component Slot",PSG_10010294,,,EngineerIconExtraSlot41,4,All,1,Engineer,,,,,,,5,,,2,UnlockExtraSlotOfLevel,0,0
85,"Build Time: +10 Days
Unlocks an Additional ""Great"" Component Slot",PSG_10010295,,,EngineerIconExtraSlot41,4,All,2,Engineer,,,,,,,10,,,3,UnlockExtraSlotOfLevel,0,0
86,"Reliability: +25%
{Stat}: -5",PSG_10010771,,,EngineerIconID45,2,All,1,Engineer,,,-5,,25,,,,,,,0,0
