"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Car Development","DesignStaffIdle","Type = Body3","Engineer","Thanks,

{Sender:FirstName}","PSG_10004067","","MailButton = Design","","","","Merci, 

{Sender:FirstName}","Grazie,

{Sender:FirstName}","Danke,

{Sender:FirstName}","Gracias, 

{Sender:FirstName}","<gender^Sender=F>
Obrigada,

{Sender:FirstName}
</gender>
<gender^Sender=M>
Obrigado,

{Sender:FirstName}
</gender>
","Bedankt,

{Sender:FirstName}","Kösz,

{Sender:FirstName}","Dzięki,

{Sender:FirstName}","Спасибо,

{Sender:FirstName}"
"Car Development","DesignStarted","Type = Header","Engineer","New {PartBeingDesigned} Design Started","PSG_10004068","Type = Body0","AddLineBreaks = 2; MailGroup = Team","","","","Nouvelle conception commencée pour {PartBeingDesigned}","Nuova progettazione per {PartBeingDesigned} iniziata","Neue Entwicklung für {PartBeingDesigned} gestartet","{PartBeingDesigned}: comenzando el diseño","{PartBeingDesigned}: novo design iniciado","Nieuw ontwerp {PartBeingDesigned} gestart","Új {PartBeingDesigned} tervezése elindult","Rozpoczęto projekt nowej części: {PartBeingDesigned}","Начата разработка нового элемента: <lowercase>{PartBeingDesigned}</lowercase>"
"Car Development","DesignStarted","Type = Body0","Engineer","Hi boss,","PSG_10004069","Type = Body1","AddLineBreaks = 2","","","","Salut chef,","Ciao capo,","Hallo,","Hola,","Oi, chefe,","Hallo baas,","Helló, főnök!","Cześć, szefie,","Здравствуйте, босс!"
"Car Development","DesignStarted","Type = Body1","Engineer","We've started work on the new {PartBeingDesigned}.

It should be finished in {PartBeingDesignedDays} days.","PSG_10004070","Type = Body2","AddLineBreaks = 2","","","","On a commencé la nouvelle conception pour {PartBeingDesigned}.

Ça devrait être prêt d'ici {PartBeingDesignedDays} jours.","<gender^Part=F>
abbiamo iniziato a lavorare sulla nuova {PartBeingDesigned}.
Dovrebbe essere completata entro {PartBeingDesignedDays} giorni.
</gender>
<gender^Part=M>
abbiamo iniziato a lavorare sul nuovo {PartBeingDesigned}.
Dovrebbe essere completato entro {PartBeingDesignedDays} giorni.
</gender>
<gender^Part=FP>
abbiamo iniziato a lavorare sulle nuove {PartBeingDesigned}.
Dovrebbero essere completate entro {PartBeingDesignedDays} giorni.
</gender>
<gender^Part=MP>
abbiamo iniziato a lavorare sui nuovi {PartBeingDesigned}.
Dovrebbero essere completati entro {PartBeingDesignedDays} giorni.
</gender>

","<gender^Part=F>
Wir haben mit den Arbeiten an der {PartBeingDesigned} begonnen.

Der Auftrag sollte in {PartBeingDesignedDays} Tagen fertig sein.
</gender>
<gender^Part=M>
Wir haben mit den Arbeiten am {PartBeingDesigned} begonnen.

Der Auftrag sollte in {PartBeingDesignedDays} Tagen fertig sein.
</gender>
<gender^Part=FP>
Wir haben mit den Arbeiten an den {PartBeingDesigned} begonnen.

Der Auftrag sollte in {PartBeingDesignedDays} Tagen fertig sein.
</gender>
<gender^Part=N>
Wir haben mit den Arbeiten am {PartBeingDesigned} begonnen.

Der Auftrag sollte in {PartBeingDesignedDays} Tagen fertig sein.
</gender>","<gender^Part=F>
Hemos empezado a trabajar en la {PartBeingDesigned} nueva.

Estará disponible en {PartBeingDesignedDays} días.
</gender>
<gender^Part=M>
Hemos empezado a trabajar en el {PartBeingDesigned} nuevo.

Estará disponible en {PartBeingDesignedDays} días.
</gender>
<gender^Part=FP>
Hemos empezado a trabajar en las {PartBeingDesigned} nuevas.

Estarán disponibles en {PartBeingDesignedDays} días.
</gender>
<gender^Part=MP>
Hemos empezado a trabajar en los {PartBeingDesigned} nuevos.

Estarán disponibles en {PartBeingDesignedDays} días.
</gender>","<gender^Part=F>
Nós começamos a trabalhar na nova {PartBeingDesigned}.

Devemos terminar em {PartBeingDesignedDays} dias.
</gender>
<gender^Part=M>
Nós começamos a trabalhar no novo {PartBeingDesigned}.

Devemos terminar em {PartBeingDesignedDays} dias.
</gender>
<gender^Part=FP>
Nós começamos a trabalhar nas novas {PartBeingDesigned}.

Devemos terminar em {PartBeingDesignedDays} dias.
</gender>
<gender^Part=MP>
Nós começamos a trabalhar nos novos {PartBeingDesigned}.

Devemos terminar em {PartBeingDesignedDays} dias.
</gender>
<gender^Part=N>
Nós começamos a trabalhar no novo {PartBeingDesigned}.

Devemos terminar em {PartBeingDesignedDays} dias.
</gender>
","<gender^Part=M>
We zijn begonnen aan de nieuwe {PartBeingDesigned}. Het zou over {PartBeingDesignedDays} dagen klaar moeten zijn.
</gender>
<gender^Part=MP>
We zijn begonnen aan de nieuwe {PartBeingDesigned}. Ze zouden over {PartBeingDesignedDays} dagen klaar moeten zijn.
</gender>
<gender^Part=N>
We zijn begonnen aan het nieuwe {PartBeingDesigned}. Het zou over {PartBeingDesignedDays} dagen klaar moeten zijn.
</gender>","Elkezdtünk dolgozni egy új projekten: {PartBeingDesigned}.

{PartBeingDesignedDays} nap alatt be kell, hogy fejezzük.","Rozpoczęliśmy pracę nad nową częścią ({PartBeingDesigned}).

Powinniśmy skończyć za około {PartBeingDesignedDays} dni.","Мы начали работу над новым элементом, это <lowercase>{PartBeingDesigned}</lowercase>.

Срок разработки: {PartBeingDesignedDays} дн."
"Car Development","DesignStarted","Type = Body2","Engineer","Thanks,","PSG_10004071","Type = Body3","","","","","Merci, ","Grazie,","Danke,","Atentamente, ","Valeu, ","Bedankt,","Kösz,","Dzięki,","Спасибо,"
"Car Development","DesignStarted","Type = Body3","Engineer","{Sender:FirstName}","PSG_10004072","","","","","","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}"
"Car Development","FactoryStaffIdle","Type = Header","Mechanic","Factory Staff Idle","PSG_10004073","Type = Body0","MailGroup = Team","","","","Personnel de l'usine disponible","Stabilimento inattivo","Konstrukteure untätig","Estamos de brazos cruzados","Equipe de fábrica parada","Fabriekspersoneel niet actief","Az üzemi stáb tétlen","Pracownicy fabryki nie mają co robić","Работники завода не заняты"
"Car Development","FactoryStaffIdle","Type = Body0","Mechanic","Hi boss,","PSG_10004074","Type = Body1","AddLineBreaks = 2","","","","Salut chef,","Ciao capo,","Hallo,","Hola,","Oi, chefe,","Hallo baas,","Helló, főnök!","Cześć, szefie,","Здравствуйте, босс!"
"Car Development","FactoryStaffIdle","Type = Body1","Mechanic","We've finished all of our part development jobs, and the guys are getting bored! We can improve the car's performance and its reliability.

Can you give us something to do? There's only so many cups of tea we can make.","PSG_10004075","Type = Body2","AddLineBreaks = 2","","","","On a fini tout ce qu'il y avait à faire en matière de développement de pièces, et les gars commencent à s'ennuyer. Nous pouvons améliorer la performance et la fiabilité de la voiture.

Pouvez-vous nous donner du travail ? Les jeux de carte ça va cinq minutes !","Abbiamo finito tutti i lavori di sviluppo dei componenti e i ragazzi si stanno annoiando. Possiamo migliorare la prestazione e l'affidabilità dell'auto.

Puoi darci qualcosa da fare? Ci stiamo bevendo solo tanto caffè!","Wir sind mit allen Entwicklungsarbeiten in der Fabrik fertig und kriegen langsam Langeweile. Wir können die Leistung und Zuverlässigkeit des Fahrzeugs verbessern.

Könnten Sie uns ein paar Aufträge geben? Sonst können wir hier nur Däumchen drehen.","Hemos acabado de desarrollar las piezas en la fábrica y esta gente se aburre. Podemos mejorar el rendimiento del coche y su fiabilidad.

Danos algo que hacer, que estamos hartos de tomar té y estar sin hacer nada.","Nós terminamos todos os trabalhos de desenvolvimento de peças, e o pessoal está ficando entediado. Nós podemos melhorar o desempenho do carro e sua confiabilidade.

Você pode nos dar algo mais para trabalhar? Tem um limite para o número de xícaras de chá que podemos fazer.","We zijn klaar met de ontwikkeling van alle onderdelen, en de mensen vervelen zich! We kunnen de prestaties en de betrouwbaarheid van de wagen verbeteren.

Kun je ons iets te doen geven? Je kunt maar zoveel kopjes thee zetten in een leven.","Minden munkával végeztünk az alkatrészfejlesztés területén, és a srácok kezdenek unatkozni. Fejleszthetjük a kocsi megbízhatóságát és teljesítményét.

Tudnál adni valami tennivalót? Mert különben csak rengeteg csésze teát főzhetünk.","Zakończyliśmy wszystkie zadania w fabryce; pracownicy się nudzą! Możemy poprawić wydajność lub niezawodność samochodu.

Dasz nam coś do roboty? Ile można siedzieć i parzyć herbatę?","Мы выполнили все задачи, поставленные перед заводом, и рабочие совсем заскучали. Мы можем улучшить характеристики и надежность болида.

Вы можете дать нам работу? Мы уже устали бесконечно гонять чаи."
"Car Development","FactoryStaffIdle","Type = Body2","Mechanic","Cheers,","PSG_10004076","Type = Body3","AddLineBreaks = 2","","","","Merci,","Saluti,","Danke,","Un saludo,","Abraços,","Groetjes,","Helló,","Pozdrawiam,","С уважением,"
"Car Development","FactoryStaffIdle","Type = Body3","Mechanic","{Sender:FirstName}","PSG_10004077","","MailButton = PartDevelopment","","","","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}","{Sender:FirstName}"
"Car Development","CarRepairFinished","Type = Header","Mechanic","Car Repair Finished","PSG_10002568","Type = Body0","MailGroup = Mechanics","","","","Réparation de la voiture terminée","Riparazione monoposto terminata","Fahrzeugreparatur beendet","Coche reparado","Conserto de carro finalizado","Wagenreparatie voltooid","Az autó javítása befejeződött","Ukończono naprawę samochodu","Ремонт болида завершен"
"Car Development","CarRepairFinished","Type = Body0","Mechanic","We've finished repairing both cars. The mechanics can get back to making performance and reliability improvements!","PSG_10000753","","","","","","Nous avons terminé les réparations des deux voitures. Les mécaniciens peuvent maintenant retourner aux améliorations de performance et de fiabilité !","Abbiamo finito di riparare entrambe le monoposto. I meccanici possono tornare a fare modifiche e miglioramenti!","Wir sind mit der Reparatur beider Wagen fertig. Die Mechaniker können sich jetzt wieder Leistungs- und Zuverlässigkeitsverbesserungen widmen.","Hemos terminado de reparar ambos coches. ¡Los mecánicos podrán concentrarse en mejorar el rendimiento y la fiabilidad!","Nós terminamos de consertar ambos os carros. Os mecânicos podem voltar a fazer melhorias de desempenho e confiabilidade!","We hebben beide wagens gerepareerd. De monteurs kunnen weer verder met het aanbrengen van verbeteringen op het gebied van prestaties en betrouwbaarheid!","Befejeztük mindkét autó javítását.  A szerelők most már visszatérhetnek a teljesítmény és a megbízhatóság növeléséhez!","Skończyliśmy naprawiać oba samochody. Mechanicy mogą z powrotem zająć się ulepszeniami wydajności i niezawodności.","Мы закончили ремонт обоих болидов. Теперь механики могут заняться работой по улучшению производительности и надежности!"
"Car Development","PartBuilt","Type = Header","Engineer","{PartBuilt} Build Finished","PSG_10002569","Type = Body0","MailGroup = LeadDesigner","","","","{PartBuilt} : Production terminée","Costruzione {PartBuilt} terminata","Bau von {PartBuilt} abgeschlossen","Fabricación de <lowercase>{PartBuilt}</lowercase> terminada","{PartBuilt}: construção finalizada","Bouw {PartBuilt} voltooid","A(z) {PartBuilt} elkészítése befejeződött","{PartBuilt}: ukończono produkcję","{PartBuilt} - изготовление завершено"
"Car Development","PartBuilt","Type = Body0","Engineer","
<gender^Part=MP>
We've finished building the new <lowercase>{PartBuilt}</lowercase>. We can now fit them to one of the cars!
</gender>
<gender^Part=M>
We've finished building the new <lowercase>{PartBuilt}</lowercase>. We can now fit it to one of the cars!
</gender>
","PSG_10003290","Type = Body1","MailButton = CarScreen","","","","Nous avons terminé la production de cette nouvelle pièce : <lowercase>{PartBuilt}</lowercase>. Elle peut désormais être installée sur l'une des voitures !","<gender^Part=M>
Abbiamo finito di costruire il nuovo <lowercase>{PartBuilt}</lowercase>. Ora possiamo montarlo su una delle vetture!
</gender>
<gender^Part=FP>
Abbiamo finito di costruire le nuove <lowercase>{PartBuilt}</lowercase>. Ora possiamo montarle su una delle vetture!
</gender>
<gender^Part=MP>
Abbiamo finito di costruire i nuovi <lowercase>{PartBuilt}</lowercase>. Ora possiamo montarli su una delle vetture!
</gender>
<gender^Part=N>
Abbiamo finito di costruire il nuovo <lowercase>{PartBuilt}</lowercase>. Ora possiamo montarlo su una delle vetture!
</gender>","<gender^Part=F>
Wir sind mit dem Bau der {PartBuilt} fertig. Wir können das Teil jetzt an einem unserer Fahrzeuge anbringen!
</gender>
<gender^Part=M>
Wir sind mit dem Bau des {PartBuilt}s fertig. Wir können das Teil jetzt an einem unserer Fahrzeuge anbringen!
</gender>
<gender^Part=FP>
Wir sind mit dem Bau der {PartBuilt} fertig. Wir können das Teil jetzt an einem unserer Fahrzeuge anbringen!
</gender>
<gender^Part=N>
Wir sind mit dem Bau des {PartBuilt}s fertig. Wir können das Teil jetzt an einem unserer Fahrzeuge anbringen!
</gender>","Fabricación acabada: <lowercase>{PartBuilt}</lowercase>. ¡Ya se puede equipar en uno de los coches!","<gender^Part=F>

Nós terminamos de construir a nova <lowercase>{PartBuilt}</lowercase>. Agora podemos colocá-la em um dos carros!

</gender>
<gender^Part=M>

Nós terminamos de construir o novo <lowercase>{PartBuilt}</lowercase>. Agora podemos colocá-lo em um dos carros!

</gender>
<gender^Part=FP>

Nós terminamos de construir as novas <lowercase>{PartBuilt}</lowercase>. Agora podemos colocá-las em um dos carros!

</gender>
<gender^Part=MP>

Nós terminamos de construir os novos <lowercase>{PartBuilt}</lowercase>. Agora podemos colocá-los em um dos carros!

</gender>
<gender^Part=N>

Nós terminamos de construir o novo <lowercase>{PartBuilt}</lowercase>. Agora podemos colocá-lo em um dos carros!

</gender>
","<gender^Part=M>
We zijn klaar met de bouw van de nieuwe <lowercase>{PartBuilt}</lowercase>. We kunnen nu verdergaan met de installatie!
</gender>
<gender^Part=MP>
We zijn klaar met de bouw van de nieuwe <lowercase>{PartBuilt}</lowercase>. We kunnen nu verdergaan met de installatie!
</gender>
 <gender^Part=N>
We zijn klaar met de bouw van het nieuwe <lowercase>{PartBuilt}</lowercase>. We kunnen nu verdergaan met de installatie!
</gender>","<gender^Part=MP>
Befejeztük az új <lowercase>{PartBuilt}</lowercase> építését! Most már berakhatjuk valamelyik kocsiba!
</gender>
<gender^Part=M>
Befejeztük az új <lowercase>{PartBuilt}</lowercase> építését! Most már berakhatjuk valamelyik kocsiba!
</gender>","
Ukończyliśmy produkcję nowej części: <lowercase>{PartBuilt}</lowercase>. Możemy ją teraz zamontować w jednym z aut!
","Мы изготовили элемент: <lowercase>{PartBuilt}</lowercase>. Теперь его можно установить на один из болидов!"
"Car Development","PartBuilt","Type = Body1; RandomComponent = True","Engineer","{LineBreak}Random component chosen {RandomComponentName}.","PSG_10004940","","","","","","{LineBreak}Composant aléatoire choisi : {RandomComponentName}. ","{LineBreak}Elemento casuale scelto: {RandomComponentName}.","{LineBreak}Zufälliges Teil ausgewählt: {RandomComponentName}.","{LineBreak}Componente elegido al azar: {RandomComponentName}.","{LineBreak}Componente aleatório escolhido ({RandomComponentName}).","{LineBreak}Willekeurig component gekozen: {RandomComponentName}.","{LineBreak}Véletlenszerű komponens kiválasztva: {RandomComponentName}.","{LineBreak}Wybrano losową część - {RandomComponentName}.","{LineBreak}Выбран случайный компонент <lowercase>{RandomComponentName}</lowercase>."
"Post Race Event","SponsorRaceWeekendFeedback","Type = Header","Assistant","Sponsor Race Weekend Feedback","PSG_10000067","Type = Body0","MailGroup = Team","","","","Feedback du sponsor sur le week-end de course","Opinione dello sponsor sul weekend di gara","Sponsoren-Feedback zum Rennwochenende","Opinión del patrocinador del fin de semana de la carrera","Análise do fim de semana de corrida patrocinada","Sponsorfeedback raceweekend","Szponzor versenyhétvégi visszajelzés","Opinie sponsorów po weekendzie wyścigowym","Спонсорские отзывы о гоночном уикенде"
